location_name,sex_name,cause_name,measure_name,age_id,age_name,rate_1990,rate_2023,absolute_change,relative_change_pct
Sub-Saharan Africa,Male,Diabetes mellitus,YLLs (Years of Life Lost),11,30-34 years,303.570198876528,327.908544205137,24.338345328608966,8.017369761156345
Sub-Saharan Africa,Male,Diabetes mellitus,Prevalence,11,30-34 years,2561.49709619294,3429.5724116628,868.07531546986,33.889373396520696
Sub-Saharan Africa,Male,Diabetes mellitus,Incidence,11,30-34 years,135.38178992587,172.14863145065,36.76684152477998,27.157892907836523
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Deaths,11,30-34 years,0.76417604996775,0.546193075891105,-0.21798297407664502,-28.52522976686386
Sub-Saharan Africa,Male,Diabetes mellitus type 1,DALYs (Disability-Adjusted Life Years),11,30-34 years,45.6474516104726,33.1731691391083,-12.474282471364297,-27.327445522725313
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLDs (Years Lived with Disability),11,30-34 years,1.46329782735,1.63654910694,0.17325127959000008,11.839782466140502
Sub-Saharan Africa,Male,Diabetes mellitus type 1,YLLs (Years of Life Lost),11,30-34 years,44.1841537831197,31.5366200321707,-12.647533750948998,-28.624592004251348
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Prevalence,11,30-34 years,21.82388029042,24.44712368823,2.6232433978100005,12.020059507756375
Sub-Saharan Africa,Male,Diabetes mellitus type 1,Incidence,11,30-34 years,0.63025138366,0.68928721854,0.05903583487999997,9.367029793281322
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Deaths,11,30-34 years,4.48646568029846,5.13301647224806,0.6465507919495996,14.411138700755387
Sub-Saharan Africa,Male,Diabetes mellitus type 2,DALYs (Disability-Adjusted Life Years),11,30-34 years,421.416836107291,513.421903701402,92.00506759411104,21.832318908750704
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLDs (Years Lived with Disability),11,30-34 years,162.03079101388,217.04997952843,55.019188514549995,33.956008095916104
Sub-Saharan Africa,Male,Diabetes mellitus type 2,YLLs (Years of Life Lost),11,30-34 years,259.386045093408,296.371924172966,36.985879079558,14.259008832275066
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Prevalence,11,30-34 years,2539.67321590252,3405.12528797457,865.4520720720498,34.077300443730316
Sub-Saharan Africa,Male,Diabetes mellitus type 2,Incidence,11,30-34 years,134.75153854221,171.45934423211,36.7078056899,27.241103208926653
Sub-Saharan Africa,Male,Diabetes mellitus,Deaths,12,35-39 years,5.04236807983879,6.05926355821964,1.0168954783808495,20.167021968244736
