location_name,measure_name,cause_name,sex_name,model,rmse,mae,mape,mase,selected
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ARIMA,6.943887920589579,4.306267091801816,0.4470249993077401,2.039544878170892,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Female,ETS,6.1730600150086925,4.032105546873241,0.4185569998982284,1.9096958087030413,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ARIMA,9.477617130476897,6.264784634191301,0.4543577777556989,1.3411114714231762,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus,Male,ETS,9.724378029468244,6.119515378513287,0.4446676848753197,1.310013472591483,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,ARIMA,0.5474449197507485,0.34411382242641586,0.7834105020673171,0.2880747925675159,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Both,ETS,0.5370247996506433,0.3632147276972299,0.8225867785555695,0.30406511020411175,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,ARIMA,0.4694337856305077,0.26812481871389915,0.8689379432359272,0.2767824690395913,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Female,ETS,0.43112081443825495,0.2583702379428964,0.8323358859783864,0.2667129164961351,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ARIMA,0.6394023064248869,0.44914583949692144,0.7813898021625201,0.31502175950753386,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 1,Male,ETS,0.6615612095669273,0.4592013217483765,0.798291250119079,0.32207447030431696,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ARIMA,6.741236337938118,4.233252060900154,0.37752149459010015,1.455780837133131,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Both,ETS,7.373793123058448,4.368916505376092,0.3897007771299117,1.5024347324616283,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ARIMA,6.983943495584391,4.237965585528568,0.45484126542831466,2.2122000541378743,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Female,ETS,7.089544728951389,4.311901572484705,0.46296635074054976,2.2507943256217247,FALSE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ARIMA,9.544445878036296,6.32751438193267,0.47866570595374164,1.149826321737071,TRUE
Eastern Sub-Saharan Africa,DALYs (Disability-Adjusted Life Years),Diabetes mellitus type 2,Male,ETS,10.342065474364832,6.6742698493022585,0.505761894081599,1.212838199628056,FALSE
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ARIMA,0.30190588931288354,0.19385170235160917,0.5136734249527555,1.4603074623257,TRUE
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Both,ETS,0.33042817944013925,0.2132277547162876,0.5644879159051582,1.6062695225774684,FALSE
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ARIMA,0.23485119487723136,0.1404985081656957,0.4604655253518744,1.760672143013929,TRUE
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Female,ETS,0.2564014491511026,0.1534448799090018,0.5052659598595202,1.922910990807668,FALSE
Eastern Sub-Saharan Africa,Deaths,Diabetes mellitus,Male,ARIMA,0.4201351191919269,0.2872173571975526,0.6241023937045863,1.14008176369746,TRUE
