location_name,measure_name,cause_name,sex_name,metric_name,value_1990,value_2023,lower_1990,lower_2023,upper_1990,upper_2023,absolute_change,relative_change_pct
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 1,Male,Number,29051.1600591217,45558.7359011502,18354.599775502,25996.0049011883,42766.6199425571,73813.4837089974,16507.5758420285,56.82243259282629
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Both,Number,176290.956509182,550463.665175899,119803.55695122,376634.053297994,244984.948489936,754800.338710278,374172.70866671705,212.2472508379796
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Female,Number,65443.8448267367,191409.865021527,40554.5206499796,113931.200979262,100788.861304781,307615.403722231,125966.0201947903,192.47955331519216
Central Sub-Saharan Africa,YLLs (Years of Life Lost),Diabetes mellitus type 2,Male,Number,110847.111682445,359053.800154372,67182.4573842249,214625.182579342,173748.201161151,536808.269574556,248206.68847192702,223.91804775481202
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Both,Number,127191.122954243,448959.963566432,87419.3895942571,307963.450553029,174817.265143721,605924.586252374,321768.84061218903,252.9805800424809
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Female,Number,58593.2188817254,204232.87570603,40094.6381644916,140314.544507353,80559.4975859152,274947.065900153,145639.6568243046,248.5606007041338
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus,Male,Number,68597.9040725174,244727.087860402,46572.5991822025,166027.618253243,93658.707414579,328201.058557115,176129.1837878846,256.7559259561224
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Both,Number,442.764089977074,1515.44031104894,244.55916257555,929.840649544867,723.000233950896,2209.5301328471,1072.676221071866,242.26811644264296
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Female,Number,227.339579883036,772.687181517729,127.911581524865,464.280554996028,380.475841769126,1172.90398215832,545.347601634693,239.8823829600059
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 1,Male,Number,215.424510094038,742.753129531212,120.998501615995,464.057421850925,350.754256569883,1096.5362613137,527.328619437174,244.78580418123377
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Both,Number,126748.358864266,447444.523255383,87083.5505473102,307010.9870248,174114.754280959,603855.860521124,320696.164391117,253.0180013885217
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Female,Number,58365.8793018425,203460.188524512,39945.2498372074,139793.938132005,80297.8367309717,273651.768955468,145094.3092226695,248.59440302836174
Central Sub-Saharan Africa,YLDs (Years Lived with Disability),Diabetes mellitus type 2,Male,Number,68382.4795624234,243984.334730871,46439.3823954015,165552.255732328,93339.6221616456,327295.568772551,175601.8551684476,256.79363528803935
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Both,Number,2634294.59862806,7960762.22353446,2389402.25678777,7238228.32013852,2873753.9898284,8636359.09852852,5326467.6249064,202.19711294554617
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Female,Number,1266557.30599176,3942058.58386803,1147670.25848059,3592466.98983129,1388918.21459685,4291554.47169311,2675501.27787627,211.24202317725027
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus,Male,Number,1367737.2926363,4018703.63966644,1239590.61313543,3647508.45783387,1491644.18494983,4346774.29908762,2650966.34703014,193.8213106641575
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Both,Number,34102.0684731904,126572.492989314,23566.834931644,94379.9645246408,44616.2366682069,184739.301046164,92470.4245161236,271.15781727087887
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Female,Number,17659.784016206,65389.1968799557,12214.469661187,48967.2852886819,23216.7758641735,95085.77813638,47729.412863749705,270.2717814665766
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 1,Male,Number,16442.2844569843,61183.2961093579,11345.6491045671,45409.2833444736,21444.5168875299,89653.5229097839,44741.0116523736,272.1094612456279
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Both,Number,2600192.53015487,7834189.73054515,2351295.01782081,7113044.74422142,2838023.42731084,8511518.04366927,5233997.20039028,201.2926788955331
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Female,Number,1248897.52197556,3876669.38698807,1128265.38853603,3522201.42406361,1371187.11584269,4220778.86934751,2627771.8650125097,210.40732476238614
Eastern Sub-Saharan Africa,Prevalence,Diabetes mellitus type 2,Male,Number,1351295.00817931,3957520.34355708,1222697.25951258,3586770.42189855,1475619.57168552,4281620.05535114,2606225.3353777695,192.8687162760492
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Both,Number,165396.666600139,475929.508966395,151644.119841487,436458.205009562,178986.618910918,512825.772110618,310532.842366256,187.75036326275938
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Female,Number,75037.4466861907,223906.655234113,68197.4364627023,204232.627168486,81747.5313513044,241840.175128706,148869.2085479223,198.3932224806351
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus,Male,Number,90359.2199139485,252022.853732282,83402.4372139533,231523.529271352,97569.5643805314,271701.285543403,161663.6338183335,178.91216189370613
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Both,Number,1831.94270776807,7866.65027235452,1419.44480838513,4343.15522135265,2349.63277368866,20479.9244656875,6034.70756458645,329.41573658374824
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Female,Number,937.420862145595,3957.43645558823,727.82833000317,2190.49932365755,1203.09858040719,10288.2394569758,3020.015593442635,322.1621915401305
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 1,Male,Number,894.52184562247,3909.21381676629,691.829121835731,2151.3730580189,1146.53419328147,10191.6850087117,3014.6919711438204,337.01714339307046
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,Number,163564.723892371,468062.85869404,149918.756269381,427992.304201282,177260.102821077,506431.849156314,304498.134801669,186.16369566461967
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,Number,74100.025824045,219949.218778524,67210.931467519,200131.670020989,80932.9586550191,237882.715590298,145849.192954479,196.82745226136186
Eastern Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,Number,89464.6980683261,248113.639915516,82395.8437192321,227859.599264352,96808.9764809689,267450.903174542,158648.94184718988,177.33133322154208
