location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2024,0.36864102193936843,0.3543342952564771,0.3829477486222598
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2025,0.35894659590816036,0.336367137428956,0.3815260543873647
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2026,0.34925216987695235,0.31866619962138154,0.37983814013252315
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2027,0.33955774384574433,0.3008059256606674,0.3783095620308213
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2028,0.32986331781453626,0.2826568612198438,0.37706977440922873
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2029,0.32016889178332825,0.26417110556194906,0.37616667800470743
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Female,ETS,2030,0.31047446575212023,0.2453313689916496,0.3756175625125909
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2024,0.8299981735558476,0.8041748712243404,0.8558214758873548
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2025,0.807971603670413,0.7644434902935001,0.8514997170473259
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2026,0.7859450337849785,0.7238667592472854,0.8480233083226716
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2027,0.763918463899544,0.6819800287086835,0.8458568990904045
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2028,0.7418918940141094,0.6387158342814693,0.8450679537467495
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2029,0.7198653241286749,0.5940960661090477,0.845634582148302
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 1,Male,ETS,2030,0.6978387542432404,0.5481666268579436,0.8475108816285372
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2024,32.33357421170014,31.740554201060867,32.92659422233941
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2025,31.389393142960465,30.398555493898428,32.3802307920225
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2026,30.445212074220795,28.899886467310225,31.990537681131364
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2027,29.501031005481124,27.29870610597253,31.703355904989717
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2028,28.556849936741457,25.618985926071172,31.494713947411743
Central Sub-Saharan Africa,Deaths,Diabetes mellitus type 2,Both,ETS,2029,27.612668868001787,23.874121677640645,31.35121605836293
